1124, 3121, 3017, 1, 126000.0
1127, 1221, 1617, 1, 69300.0
1130, 1821, 1317, 1, 83750.0
1133, 1321, 1117, 1, 45100.0
1136, 2521, 1717, 1, 61200.0
1139, 2721, 1317, 1, 83750.0
1142, 2621, 1417, 1, 55200.0
1145, 1121, 1917, 1, 22100.0
1148, 1821, 1817, 1, 40260.0
1151, 2821, 3017, 1, 126000.0
1154, 1621, 1917, 1, 22100.0
1157, 3121, 1717, 1, 61200.0
1160, 2321, 1517, 1, 62500.0
1163, 3321, 1317, 1, 83750.0
1166, 1721, 1917, 1, 22100.0
1169, 2421, 1817, 1, 40260.0
1172, 2921, 1417, 1, 55200.0
1175, 2321, 3017, 1, 126000.0
1178, 1221, 1317, 1, 83750.0
1181, 1121, 1817, 1, 40260.0
1184, 1321, 3017, 1, 126000.0
1187, 1421, 1517, 1, 62500.0
1190, 3321, 1517, 1, 62500.0
